Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,24-Jul-2024,25-Jul-2024,998.95,1032.00,995.45,1027.50,1027.95,1027.50,46849.00,263739.94,17113800.00,-15770150.00,1027.70
TATAMOTORS,24-Jul-2024,29-Aug-2024,1005.05,1038.90,1002.35,1034.05,1034.80,1034.05,57072.00,323387.88,51336450.00,16083650.00,1027.70
TATAMOTORS,24-Jul-2024,26-Sep-2024,1010.70,1044.00,1010.70,1040.10,1040.05,1040.10,1495.00,8517.98,678700.00,85800.00,1027.70
TATAMOTORS,25-Jul-2024,25-Jul-2024,1025.95,1092.50,1022.60,1088.85,1085.25,1090.95,50721.00,299006.31,2420000.00,-14693800.00,1090.95
TATAMOTORS,25-Jul-2024,29-Aug-2024,1033.10,1099.50,1030.65,1096.25,1094.50,1096.25,96487.00,572160.23,63240100.00,11903650.00,1090.95
TATAMOTORS,25-Jul-2024,26-Sep-2024,1038.40,1105.50,1036.95,1102.65,1101.25,1102.65,3558.00,21190.44,1137400.00,458700.00,1090.95
TATAMOTORS,26-Jul-2024,29-Aug-2024,1110.00,1124.60,1087.20,1122.35,1121.50,1122.35,47674.00,289851.15,59679950.00,-3560150.00,1118.30
TATAMOTORS,26-Jul-2024,26-Sep-2024,1114.90,1130.40,1093.50,1127.90,1127.00,1127.90,3077.00,18814.94,1103850.00,-33550.00,1118.30
TATAMOTORS,26-Jul-2024,31-Oct-2024,1115.00,1135.85,1100.00,1134.05,1133.00,1134.05,468.00,2883.47,142450.00,142450.00,1118.30
TATAMOTORS,29-Jul-2024,29-Aug-2024,1124.60,1144.00,1122.75,1128.80,1129.50,1128.80,26499.00,164887.31,57575100.00,-2104850.00,1124.00
TATAMOTORS,29-Jul-2024,26-Sep-2024,1132.10,1150.10,1129.45,1133.60,1134.50,1133.60,2272.00,14213.83,1254000.00,150150.00,1124.00
TATAMOTORS,29-Jul-2024,31-Oct-2024,1136.45,1155.25,1135.00,1139.30,1141.00,1139.30,426.00,2677.29,267300.00,124850.00,1124.00
TATAMOTORS,30-Jul-2024,29-Aug-2024,1128.00,1178.45,1121.90,1160.85,1161.65,1160.85,54789.00,349707.04,57565200.00,-9900.00,1161.85
TATAMOTORS,30-Jul-2024,26-Sep-2024,1132.50,1184.40,1128.00,1167.30,1167.00,1167.30,3785.00,24290.14,1656050.00,402050.00,1161.85
TATAMOTORS,30-Jul-2024,31-Oct-2024,1135.70,1189.90,1135.00,1172.60,1172.65,1172.60,715.00,4605.33,319000.00,51700.00,1161.85
TATAMOTORS,31-Jul-2024,29-Aug-2024,1164.35,1168.00,1146.45,1156.50,1157.60,1156.50,26611.00,169310.56,55202950.00,-2362250.00,1156.65
TATAMOTORS,31-Jul-2024,26-Sep-2024,1168.10,1173.55,1152.85,1163.15,1164.40,1163.15,1630.00,10425.61,1661550.00,5500.00,1156.65
TATAMOTORS,31-Jul-2024,31-Oct-2024,1176.50,1179.95,1158.55,1168.70,1170.15,1168.70,266.00,1711.71,381150.00,62150.00,1156.65
TATAMOTORS,01-Aug-2024,29-Aug-2024,1164.90,1175.00,1138.65,1146.50,1145.50,1146.50,41390.00,262327.53,55179300.00,-23650.00,1144.40
TATAMOTORS,01-Aug-2024,26-Sep-2024,1172.95,1180.95,1146.00,1152.75,1151.40,1152.75,3064.00,19560.26,1912350.00,250800.00,1144.40
TATAMOTORS,01-Aug-2024,31-Oct-2024,1176.90,1186.35,1151.00,1158.45,1158.10,1158.45,365.00,2342.66,442750.00,61600.00,1144.40
TATAMOTORS,02-Aug-2024,29-Aug-2024,1119.90,1120.00,1088.20,1092.00,1089.90,1092.00,59979.00,363013.16,57992550.00,2813250.00,1096.65
TATAMOTORS,02-Aug-2024,26-Sep-2024,1127.90,1133.60,1093.60,1096.95,1095.00,1096.95,6397.00,38930.72,2905100.00,992750.00,1096.65
TATAMOTORS,02-Aug-2024,31-Oct-2024,1148.10,1148.10,1100.00,1102.85,1101.70,1102.85,865.00,5292.69,596200.00,153450.00,1096.65
TATAMOTORS,05-Aug-2024,29-Aug-2024,1065.60,1067.00,1018.55,1020.90,1018.65,1020.90,54690.00,312080.30,59871900.00,1879350.00,1016.45
TATAMOTORS,05-Aug-2024,26-Sep-2024,1064.10,1068.70,1025.00,1026.80,1025.80,1026.80,5571.00,31976.48,3349500.00,444400.00,1016.45
TATAMOTORS,05-Aug-2024,31-Oct-2024,1065.65,1072.35,1031.30,1032.90,1031.50,1032.90,757.00,4368.56,759550.00,163350.00,1016.45
TATAMOTORS,06-Aug-2024,29-Aug-2024,1031.10,1059.30,1008.30,1014.25,1018.35,1014.25,40409.00,229426.81,59933500.00,61600.00,1013.75
TATAMOTORS,06-Aug-2024,26-Sep-2024,1038.85,1071.15,1015.00,1020.65,1024.30,1020.65,3863.00,22020.02,3593150.00,243650.00,1013.75
TATAMOTORS,06-Aug-2024,31-Oct-2024,1049.35,1070.85,1021.20,1028.20,1030.10,1028.20,584.00,3349.88,862950.00,103400.00,1013.75
TATAMOTORS,07-Aug-2024,29-Aug-2024,1032.55,1041.40,1017.00,1029.10,1029.60,1029.10,28182.00,158823.51,59863100.00,-70400.00,1025.30
TATAMOTORS,07-Aug-2024,26-Sep-2024,1041.20,1047.60,1022.65,1034.40,1035.55,1034.40,5329.00,30171.70,4807550.00,1214400.00,1025.30
TATAMOTORS,07-Aug-2024,31-Oct-2024,1045.00,1051.45,1029.90,1041.50,1041.50,1041.50,714.00,4071.76,1038400.00,175450.00,1025.30
TATAMOTORS,08-Aug-2024,29-Aug-2024,1032.80,1054.90,1027.45,1040.50,1040.45,1040.50,44957.00,258023.49,58021150.00,-1841950.00,1041.75
TATAMOTORS,08-Aug-2024,26-Sep-2024,1038.60,1060.25,1033.80,1045.35,1045.00,1045.35,5732.00,33069.71,5630350.00,822800.00,1041.75
TATAMOTORS,08-Aug-2024,31-Oct-2024,1045.90,1065.90,1041.35,1049.75,1051.00,1049.75,1486.00,8620.01,1167650.00,129250.00,1041.75
TATAMOTORS,09-Aug-2024,29-Aug-2024,1055.00,1074.90,1050.00,1064.40,1065.70,1064.40,36739.00,215366.61,56388200.00,-1632950.00,1068.10
TATAMOTORS,09-Aug-2024,26-Sep-2024,1058.00,1077.90,1056.00,1067.50,1069.70,1067.50,9788.00,57610.57,7369450.00,1739100.00,1068.10
TATAMOTORS,09-Aug-2024,31-Oct-2024,1066.00,1081.05,1060.30,1070.20,1071.60,1070.20,1774.00,10481.84,1225400.00,57750.00,1068.10
TATAMOTORS,12-Aug-2024,29-Aug-2024,1058.70,1074.35,1051.20,1068.60,1068.50,1068.60,22197.00,130518.51,56525150.00,136950.00,1076.15
TATAMOTORS,12-Aug-2024,26-Sep-2024,1060.00,1077.40,1054.80,1071.90,1072.40,1071.90,6463.00,38129.46,9050250.00,1680800.00,1076.15
TATAMOTORS,12-Aug-2024,31-Oct-2024,1064.60,1079.85,1060.00,1074.00,1074.00,1074.00,569.00,3363.02,1285350.00,59950.00,1076.15
TATAMOTORS,13-Aug-2024,29-Aug-2024,1067.75,1071.00,1049.30,1052.60,1054.50,1052.60,21107.00,122724.90,55531300.00,-993850.00,1053.45
TATAMOTORS,13-Aug-2024,26-Sep-2024,1071.45,1071.45,1053.10,1055.30,1056.50,1055.30,7917.00,46187.18,10782200.00,1731950.00,1053.45
TATAMOTORS,13-Aug-2024,31-Oct-2024,1070.00,1073.90,1055.20,1057.15,1060.00,1057.15,823.00,4814.43,1495450.00,210100.00,1053.45
